Orbit Start Time     Orbit Stop Time     External Fluence     Attenuated Fluence
yyyy:doy:hh:mm:ss   yyyy:doy:hh:mm:ss    (p/cm^2-sr-Mev)       (p/cm^2-sr-Mev)
--------------------------------------------------------------------------------
2002:169:03:04:01   2002:171:18:29:00    2.32965790488e+09    1.14215575788e+09
2002:171:18:29:00   2002:174:09:59:01    1.99705557900e+09    1.03976587200e+09
2002:174:09:59:01   2002:177:01:24:00    3.57213571320e+09    7.07133329280e+08
2002:177:01:24:00   2002:179:16:54:01    1.30021961478e+09    3.71212884276e+08
2002:179:16:54:01   2002:182:08:19:01    1.05836186562e+09    1.14580694100e+08
2002:182:08:19:01   2002:184:23:49:01    1.61897502114e+09    1.56030963390e+08
2002:184:23:49:01   2002:187:15:19:00    1.66643487570e+09    4.42756982100e+08
2002:187:15:19:00   2002:190:06:49:01    3.28737313590e+09    1.47215821746e+09
2002:190:06:49:01   2002:192:22:19:01    1.69727822130e+09    7.45932091380e+08
2002:192:22:19:01   2002:195:13:44:01    2.93471352600e+09    1.31628375120e+09
2002:195:13:44:01   2002:198:05:14:00    3.16890228540e+09    1.33444702980e+09
2002:198:05:14:00   2002:200:20:39:01    9.87490735950e+09    4.76072460600e+08
2002:200:20:39:01   2002:203:12:09:01    1.13596310835e+10    1.54550283270e+09
2002:203:12:09:01   2002:206:03:39:01    6.22257575220e+09    2.18581032600e+09
2002:206:03:39:01   2002:208:19:04:00    3.63285684630e+09    8.21632591500e+08
2002:208:19:04:00   2002:211:10:34:00    2.85416128080e+09    1.28196386604e+09
2002:211:10:34:00   2002:214:01:59:01    3.37862110995e+09    4.62390006990e+08
2002:214:01:59:01   2002:216:17:29:00    3.67682113230e+09    7.07864399820e+08
2002:216:17:29:00   2002:219:08:59:01    2.27241832734e+09    1.14286169370e+09
2002:219:08:59:01   2002:222:00:29:00    3.62270632743e+09    6.39958884486e+08
2002:222:00:29:00   2002:224:15:54:01    4.96247856600e+09    1.21689260700e+09
2002:224:15:54:01   2002:227:07:19:00    7.69038907590e+09    2.64586932678e+09
2002:227:07:19:00   2002:229:22:49:01    5.72608649640e+09    1.20470646810e+09
2002:229:22:49:01   2002:232:14:19:00    1.52795964066e+10    4.44510786270e+09
2002:232:14:19:00   2002:235:05:44:01    4.14101894988e+09    2.40846365988e+09
2002:235:05:44:01   2002:237:21:14:01    1.60660001229e+09    4.69711509390e+08
2002:237:21:14:01   2002:240:12:39:00    3.39767739585e+09    2.28774084045e+09
2002:240:12:39:00   2002:243:04:09:01    2.86932544023e+09    1.67444089323e+09
2002:243:04:09:01   2002:245:19:39:01    2.20231006575e+09    1.33829117175e+09
2002:245:19:39:01   2002:248:11:04:00    2.52039268980e+09    5.50012880100e+08
2002:248:11:04:00   2002:251:02:34:00    1.52976583200e+10    3.27806865888e+09
2002:251:02:34:00   2002:253:17:59:01    9.40146342474e+09    1.92865736754e+09
2002:253:17:59:01   2002:256:09:29:00    7.90878608100e+09    8.41526020200e+08
2002:256:09:29:00   2002:259:13:09:00    1.48947759300e+09    2.92408050000e+08
2002:259:13:09:00   2002:261:16:24:00    2.54131127244e+09    1.40567074494e+09
2002:261:16:24:00   2002:264:07:49:01    4.12560385230e+09    1.90649218530e+09
2002:264:07:49:01   2002:266:23:14:00    3.97286501244e+09    1.40000022744e+09
2002:266:23:14:00   2002:269:14:44:01    2.51617607411e+09    8.51637069105e+08
2002:269:14:44:01   2002:272:06:14:01    3.34824847878e+09    7.35630602580e+08
2002:272:06:14:01   2002:274:21:44:00    2.99738118179e+10    1.10105781329e+10
2002:274:21:44:00   2002:277:13:09:01    1.68371753397e+10    2.85209176050e+09
2002:277:13:09:01   2002:280:04:34:01    1.15990711184e+10    1.19229636346e+09
2002:280:04:34:01   2002:282:20:04:00    1.40893025764e+10    4.22210365426e+09
2002:282:20:04:00   2002:285:11:29:00    6.68690007810e+09    2.37207594210e+09
2002:285:11:29:00   2002:288:02:59:01    7.97334464325e+09    3.49050449325e+09
2002:288:02:59:01   2002:290:18:24:01    6.16857651360e+09    1.37448491784e+09
2002:290:18:24:01   2002:293:09:54:00    6.92615000889e+09    2.47767627789e+09
2002:293:09:54:00   2002:296:01:24:00    4.28415869619e+09    1.76551097619e+09
2002:296:01:24:00   2002:298:16:49:00    1.12048728600e+09    7.82194227000e+08
2002:298:16:49:00   2002:301:08:19:00    8.47382831970e+09    1.30833895860e+09
2002:301:08:19:00   2002:303:23:49:00    7.28371076670e+09    3.08567284170e+09
2002:303:23:49:00   2002:306:15:14:01    6.63192737460e+09    4.37962796460e+09
2002:306:15:14:01   2002:309:06:39:01    7.39749736200e+09    1.33776162120e+09
2002:309:06:39:01   2002:311:22:09:00    6.10485209130e+09    2.80608059130e+09
2002:311:22:09:00   2002:314:13:34:00    4.57027607520e+09    8.17458734700e+08
2002:314:13:34:00   2002:317:05:04:05    6.35106460170e+09    4.81280280000e+08
2002:317:05:04:05   2002:319:20:29:00    2.75809696908e+09    1.40000531508e+09
2002:319:20:29:00   2002:322:11:59:01    2.87497284927e+09    1.45500970227e+09
2002:322:11:59:01   2002:325:03:29:01    5.14197821271e+09    1.08377493471e+09
2002:325:03:29:01   2002:327:21:54:09    7.40181517980e+09    2.07785556000e+09
2002:327:21:54:09   2002:330:10:29:01    4.58865602670e+09    2.61953487870e+09
2002:330:10:29:01   2002:333:01:54:00    1.53893894286e+10    4.83694590660e+09
2002:333:01:54:00   2002:335:17:19:01    4.27722715770e+09    1.86185167854e+09
2002:335:17:19:01   2002:338:08:49:00    2.04083152800e+09    8.41528770000e+08
2002:338:08:49:00   2002:341:00:19:01    2.19465602520e+09    6.13810752003e+08
2002:341:00:19:01   2002:343:15:44:00    1.64267130162e+09    1.07674202682e+09
2002:343:15:44:00   2002:346:07:14:01    6.13084057350e+08    3.74590051500e+07
2002:346:07:14:01   2002:348:22:39:01    1.52475028252e+09    2.24765784644e+08
2002:348:22:39:01   2002:351:14:09:01    9.30329458500e+08    4.41428350800e+08
2002:351:14:09:01   2002:354:05:39:01    2.03162938236e+09    2.79900348963e+08
2002:354:05:39:01   2002:356:21:09:01    1.88675110593e+09    3.65060872026e+08
2002:356:21:09:01   2002:359:12:39:00    3.51184169130e+09    1.16461607130e+09
2002:359:12:39:00   2002:362:04:04:01    2.95447747143e+09    1.17089443200e+08
2002:362:04:04:01   2002:364:19:29:01    2.47532286954e+09    3.11857530540e+08
2002:364:19:29:01   2003:002:10:59:00    1.32601695415e+09    3.96378313146e+08
2003:002:10:59:00   2003:005:02:29:01    1.20057906725e+09    1.09172955648e+08
2003:005:02:29:01   2003:007:17:54:00    7.63571254158e+08    3.33365266380e+07
